Year,Month,Week,Season,City,Average Temperature (°C),Average Rainfall (mm),Average Humidity (%),Air Quality Index (AQI),Mosquito Density Index,Population Density (people per sq km),Dengue Cases Reported,Outbreak Risk Level,Latitude,Longitude,Month_Num
2015.0,January,1.0,Winter,Delhi (NCT),15.59,3.72,67.535,192.4,0.084,11297.0,43.0,Low,28.7041,77.1025,1
2015.0,January,1.0,Winter,Mumbai,17.19,4.68,60.0,145.5,0.101,20400.0,7.0,Low,19.076,72.8777,1
2015.0,January,1.0,Winter,Kolkata,18.77,26.51,69.98,128.5,0.235,24000.0,10.0,Low,22.5726,88.3639,1
2015.0,January,1.0,Winter,Chennai,18.05,0.97,61.71,92.6,0.0,26000.0,0.0,Low,13.0827,80.2707,1
2015.0,January,1.0,Winter,Bengaluru,15.28,9.09,57.36,127.7,0.104,11700.0,0.0,Low,12.9716,77.5946,1
2015.0,January,1.0,Winter,Hyderabad,18.36,12.3,58.55,153.4,0.033,10000.0,0.0,Low,17.385,78.4867,1
2015.0,January,1.0,Winter,Pune,17.76,10.49,57.06,101.3,0.14,6000.0,1.0,Low,18.5204,73.8567,1
2015.0,January,1.0,Winter,Ahmedabad,17.58,4.9,52.55,137.3,0.062,12100.0,7.0,Low,23.0225,72.5714,1
2015.0,January,1.0,Winter,Jaipur,17.45,14.17,67.535,193.0,0.136,6000.0,0.0,Low,26.9124,75.7873,1
2015.0,January,1.0,Winter,Lucknow,15.0,13.68,56.21,233.2,0.13,17000.0,0.0,Low,26.8467,80.9462,1
2015.0,January,1.0,Winter,Kanpur,15.48,14.77,61.27,197.7,0.229,10000.0,4.0,Low,26.4499,80.3319,1
2015.0,January,1.0,Winter,Nagpur,18.59,-4.5,50.05,119.7,0.089,9000.0,4.0,Low,21.1458,79.0882,1
2015.0,January,1.0,Winter,Indore,26.75,3.96,50.29,145.1,0.099,8500.0,0.0,Low,22.7196,75.8577,1
2015.0,January,1.0,Winter,Bhopal,16.56,13.68,65.52,98.9,0.089,2800.0,0.0,Low,23.2599,77.4126,1
2015.0,January,1.0,Winter,Surat,20.27,22.95,63.98,147.2,0.486,17000.0,7.0,Low,21.1702,72.8311,1
2015.0,January,1.0,Winter,Vadodara (Baroda),18.02,-0.26,53.88,137.1,0.027,7500.0,0.0,Low,22.3072,73.1812,1
2015.0,January,1.0,Winter,Nashik,17.77,9.96,51.99,67.5,0.064,4000.0,0.0,Low,19.9975,73.7898,1
2015.0,January,1.0,Winter,Ludhiana,15.27,13.68,50.66,201.7,0.072,10000.0,0.0,Low,30.901,75.8573,1
2015.0,January,1.0,Winter,Agra,15.0,17.65,47.77,190.4,0.192,8500.0,2.0,Low,27.1767,78.0081,1
2015.0,January,1.0,Winter,Meerut,15.0,0.6,49.02,113.7,0.053,12000.0,0.0,Low,28.9845,77.7064,1
2015.0,January,1.0,Winter,Vijayawada,15.35,3.35,52.49,112.0,0.0,7800.0,0.0,Low,16.5062,80.648,1
2015.0,January,1.0,Winter,Ranchi,17.44,11.45,51.37,71.7,0.146,6000.0,0.0,Low,23.3441,85.3096,1
2015.0,January,1.0,Winter,Patna,17.5,8.34,52.03,87.1,0.065,21000.0,3.0,Low,25.5941,85.1376,1
2015.0,January,1.0,Winter,Visakhapatnam,15.31,12.07,67.14,108.2,0.091,6500.0,2.0,Low,17.6868,83.2185,1
2015.0,January,1.0,Winter,Coimbatore,19.63,12.62,63.38,107.8,0.218,8500.0,0.0,Low,11.0168,76.9558,1
2015.0,January,1.0,Winter,Madurai,15.0,8.82,65.55,84.5,0.0,7000.0,0.0,Low,9.9252,78.1198,1
2015.0,January,1.0,Winter,Thiruvananthapuram (Trivandrum),22.74,6.55,67.535,113.7,0.229,5000.0,0.0,Low,8.5241,76.9366,1
2015.0,January,1.0,Winter,Kochi (Cochin),16.1,14.94,64.83,82.6,0.163,8500.0,0.0,Low,9.9312,76.2673,1
2015.0,January,1.0,Winter,Bhubaneswar,15.0,0.88,66.25,96.9,0.199,6000.0,1.0,Low,20.2961,85.8245,1
2015.0,January,1.0,Winter,Guwahati,16.2,13.68,63.27,113.4,0.087,7000.0,0.0,Low,26.1445,91.7362,1
2015.0,January,2.0,Winter,Delhi (NCT),15.85,-0.08,51.2,206.0,0.028,11297.0,1.0,Low,28.7041,77.1025,1
2015.0,January,2.0,Winter,Mumbai,17.58,14.98,62.13,147.7,0.111,20400.0,1.0,Low,19.076,72.8777,1
2015.0,January,2.0,Winter,Kolkata,26.75,18.67,72.2,157.3,0.341,24000.0,7.0,Low,22.5726,88.3639,1
2015.0,January,2.0,Winter,Chennai,26.75,16.59,65.21,148.1,0.164,26000.0,8.0,Low,13.0827,80.2707,1
2015.0,January,2.0,Winter,Bengaluru,19.61,10.97,49.92,131.6,0.272,11700.0,9.0,Low,12.9716,77.5946,1
2015.0,January,2.0,Winter,Hyderabad,15.18,15.78,59.53,141.4,0.099,10000.0,2.0,Low,17.385,78.4867,1
2015.0,January,2.0,Winter,Pune,26.75,11.24,67.535,112.3,0.139,6000.0,0.0,Low,18.5204,73.8567,1
2015.0,January,2.0,Winter,Ahmedabad,15.61,11.69,54.68,121.6,0.0,12100.0,0.0,Low,22.3072,72.5714,1
2015.0,January,2.0,Winter,Jaipur,26.75,7.44,51.67,131.0,0.017,6000.0,0.0,Low,26.9124,75.7873,1
2015.0,January,2.0,Winter,Lucknow,18.87,2.96,67.535,202.1,0.015,17000.0,0.0,Low,26.8467,80.9462,1
2015.0,January,2.0,Winter,Kanpur,20.35,12.17,48.58,244.2,0.165,10000.0,1.0,Low,26.4499,80.3319,1
2015.0,January,2.0,Winter,Nagpur,17.21,21.25,62.05,77.7,0.179,9000.0,1.0,Low,21.1458,79.0882,1
2015.0,January,2.0,Winter,Indore,16.71,17.59,57.97,109.1,0.136,8500.0,7.0,Low,22.7196,75.8577,1
2015.0,January,2.0,Winter,Bhopal,23.35,6.16,50.78,77.7,0.292,2800.0,0.0,Low,23.2599,77.4126,1
2015.0,January,2.0,Winter,Surat,15.0,6.83,64.27,113.7,0.157,17000.0,3.0,Low,21.1702,72.8311,1
2015.0,January,2.0,Winter,Vadodara (Baroda),19.97,6.45,55.18,125.0,0.164,7500.0,0.0,Low,22.3072,73.1812,1
2015.0,January,2.0,Winter,Nashik,16.51,15.04,67.535,102.4,0.094,4000.0,0.0,Low,19.9975,73.7898,1
2015.0,January,2.0,Winter,Ludhiana,15.3,6.38,45.5,191.0,0.06,10000.0,0.0,Low,30.901,75.8573,1
2015.0,January,2.0,Winter,Agra,15.0,2.35,45.29,218.0,0.036,8500.0,0.0,Low,27.1767,78.0081,1
2015.0,January,2.0,Winter,Meerut,17.97,13.68,50.12,226.8,0.168,12000.0,2.0,Low,28.9845,77.7064,1
2015.0,January,2.0,Winter,Vijayawada,15.0,10.7,58.88,101.7,0.012,7800.0,43.0,Low,16.5062,80.648,1
2015.0,January,2.0,Winter,Ranchi,19.28,1.69,52.51,114.9,0.068,8500.0,1.0,Low,23.3441,85.3096,1
2015.0,January,2.0,Winter,Patna,18.87,10.93,61.14,112.9,0.486,21000.0,5.0,Low,25.5941,85.1376,1
2015.0,January,2.0,Winter,Visakhapatnam,15.06,8.01,67.65,112.9,0.061,6500.0,0.0,Low,17.6868,83.2185,1
2015.0,January,2.0,Winter,Coimbatore,18.21,11.75,55.31,110.8,0.234,8500.0,1.0,Low,11.0168,76.9558,1
2015.0,January,2.0,Winter,Madurai,26.75,5.9,49.75,90.4,0.134,8500.0,0.0,Low,9.9252,78.1198,1
2015.0,January,2.0,Winter,Thiruvananthapuram (Trivandrum),18.46,11.64,68.82,96.3,0.133,8500.0,0.0,Low,8.5241,76.9366,1
2015.0,January,2.0,Winter,Kochi (Cochin),17.26,16.1,59.05,120.0,0.151,9000.0,0.0,Low,9.9312,76.2673,1
2015.0,January,2.0,Winter,Bhubaneswar,19.06,1.69,56.88,136.2,0.09,6000.0,0.0,Low,20.2961,85.8245,1
2015.0,January,2.0,Winter,Guwahati,18.25,4.31,63.27,105.1,0.168,7000.0,0.0,Low,26.1445,91.7362,1
2015.0,January,3.0,Winter,Delhi (NCT),17.84,2.25,51.48,205.3,0.11,11297.0,28.0,Low,28.7041,77.1025,1
2015.0,January,3.0,Winter,Mumbai,16.85,-0.36,65.74,131.0,0.066,20400.0,7.0,Low,22.3072,72.8777,1
2015.0,January,3.0,Winter,Kolkata,16.81,22.58,74.03,131.4,0.214,24000.0,5.0,Low,22.5726,88.3639,1
2015.0,January,3.0,Winter,Chennai,15.12,9.15,66.74,121.9,0.082,26000.0,2.0,Low,22.3072,80.2707,1
2015.0,January,3.0,Winter,Bengaluru,17.86,7.51,59.22,122.5,0.045,11700.0,0.0,Low,12.9716,77.5946,1
2015.0,January,3.0,Winter,Hyderabad,15.19,10.73,53.33,126.0,0.104,10000.0,0.0,Low,17.385,78.4867,1
2015.0,January,3.0,Winter,Pune,17.14,3.79,58.53,137.0,0.082,6000.0,0.0,Low,18.5204,77.7064,1
2015.0,January,3.0,Winter,Ahmedabad,19.27,13.68,53.58,147.8,0.166,12100.0,1.0,Low,23.0225,77.7064,1
